iter	Passed	Remaining
260	26100	73900
261	26206	73818
262	26307	73722
263	26402	73607
264	26515	73542
265	26612	73434
266	26721	73358
267	26832	73288
268	26932	73187
269	27038	73104
270	27130	72982
271	27223	72862
272	27322	72759
273	27419	72652
274	27518	72550
275	27610	72426
276	27703	72307
277	27808	72221
278	27901	72104
279	28002	72006
280	28098	71895
281	28198	71796
282	28346	71816
283	28479	71799
284	28595	71740
285	28705	71663
286	28815	71586
287	28944	71557
288	29068	71513
289	29188	71462
290	29316	71427
291	29440	71383
292	29560	71327
293	29673	71256
294	29777	71163
295	29887	71083
296	30009	71031
297	30124	70965
298	30237	70890
299	30352	70823
300	30457	70730
301	30570	70655
302	30687	70591
303	30803	70522
304	30917	70450
305	31046	70412
306	31144	70304
307	31233	70173
308	31325	70052
309	31414	69922
310	31495	69775
311	31581	69641
312	31669	69511
313	31755	69376
314	31846	69252
315	31957	69172
316	32066	69088
317	32157	68966
318	32248	68844
319	32340	68724
320	32437	68612
321	32516	68465
322	32593	68314
323	32674	68172
324	32776	68073
325	32871	67960
326	32978	67873
327	33077	67769
328	33164	67638
329	33259	67526
330	33350	67406
331	33463	67330
332	33555	67212
333	33647	67092
334	33728	66953
335	33821	66838
336	33926	66744
337	34031	66652
338	34120	66529
339	34194	66377
340	34272	66232
341	34359	66106
342	34446	65980
343	34516	65823
344	34594	65680
345	34669	65531
346	34754	65402
347	34832	65261
348	34973	65236
349	35050	65093
350	35125	64946
351	35215	64829
352	35306	64711
353	35404	64608
354	35518	64534
355	35608	64415
356	35682	64269
357	35754	64119
358	35834	63983
359	35904	63829
360	35967	63665
361	36036	63511
362	36101	63350
363	36166	63191
364	36303	63157
365	36373	63007
366	36440	62852
367	36505	62693
368	36582	62557
369	36646	62397
370	36714	62246
371	36780	62091
372	36850	61943
373	36918	61794
374	36999	61665
375	37093	61560
376	37174	61431
377	37256	61305
378	37327	61161
379	37408	61034
380	37477	60888
381	37547	60743
382	37612	60593
383	37674	60436
384	37746	60295
385	37824	60166
386	37905	60042
387	37998	59936
388	38089	59827
389	38182	59721
390	38274	59614
391	38355	59490
392	38440	59371
393	38516	59240
394	38597	59117
395	38679	58995
396	38766	58881
397	38853	58767
398	38940	58654
399	39031	58547
400	39135	58458
401	39215	58335
402	39289	58203
403	39363	58070
404	39444	57949
405	39520	57821
406	39601	57699
407	39677	57570
408	39753	57443
409	39830	57316
410	39906	57189
411	39987	57068
412	40061	56939
413	40127	56799
414	40191	56656
415	40267	56529
416	40342	56401
417	40414	56271
418	40492	56148
419	40571	56027
420	40646	55900
421	40719	55772
422	40783	55631
423	40842	55483
424	40898	55333
425	40961	55191
426	41019	55044
427	41078	54899
428	41139	54756
429	41195	54608
430	41254	54463
431	41318	54326
432	41381	54188
433	41442	54047
434	41506	53911
435	41567	53771
436	41624	53626
437	41684	53485
438	41742	53343
439	41799	53199
440	41857	53056
441	41920	52921
442	41981	52784
443	42034	52638
444	42088	52492
445	42145	52351
446	42201	52209
447	42262	52072
448	42322	51936
449	42386	51805
450	42442	51665
451	42501	51528
452	42561	51393
453	42620	51257
454	42678	51120
455	42741	50989
456	42805	50860
457	42867	50729
458	42924	50592
459	42984	50460
460	43042	50325
461	43098	50188
462	43152	50049
463	43211	49916
464	43273	49788
465	43331	49654
466	43395	49527
467	43452	49394
468	43509	49261
469	43571	49133
470	43632	49005
471	43691	48875
472	43753	48748
473	43812	48618
474	43876	48495
475	43930	48359
476	43994	48237
477	44050	48105
478	44108	47976
479	44161	47841
480	44218	47711
481	44274	47581
482	44332	47453
483	44389	47324
484	44445	47194
485	44504	47068
486	44561	46940
487	44617	46811
488	44676	46686
489	44731	46557
490	44789	46431
491	44843	46301
492	44903	46178
493	44963	46056
494	45018	45928
495	45079	45806
496	45136	45681
497	45192	45555
498	45250	45431
499	45308	45308
500	45367	45186
501	45423	45061
502	45485	44942
503	45549	44826
504	45603	44700
505	45660	44578
506	45723	44460
507	45781	44339
508	45839	44218
509	45897	44098
510	45963	43984
511	46021	43864
512	46076	43741
513	46133	43619
514	46190	43500
515	46245	43377
516	46302	43257
517	46359	43137
518	46421	43022
519	46474	42899
520	46525	42774
521	46576	42650
522	46631	42530
523	46686	42409
524	46739	42288
525	46793	42167
526	46849	42048
527	46904	41930
528	46966	41817
529	47020	41697
530	47071	41575
531	47130	41460
532	47182	41340
533	47241	41225
534	47294	41106
535	47350	40989
536	47408	40875
537	47466	40761
538	47527	40649
539	47589	40538
540	47646	40424
541	47703	40310
542	47761	40196
543	47814	40079
544	47870	39965
545	47932	39855
546	47988	39741
547	48043	39627
548	48099	39513
549	48156	39401
550	48211	39286
551	48267	39173
552	48321	39059
553	48380	38949
554	48437	38837
555	48493	38724
556	48547	38611
557	48606	38501
558	48664	38391
559	48722	38281
560	48777	38169
561	48830	38056
562	48886	37945
563	48947	37839
564	49008	37732
565	49066	37623
566	49122	37513
567	49177	37402
568	49229	37290
569	49291	37184
570	49345	37073
571	49401	36965
572	49457	36855
573	49511	36745
574	49563	36633
575	49615	36522
576	49668	36411
577	49721	36301
578	49771	36189
579	49826	36081
580	49878	35970
581	49941	35868
582	50007	35768
583	50075	35670
584	50137	35567
585	50201	35466
586	50271	35370
587	50360	35286
588	50435	35193
589	50496	35091
590	50562	34991
591	50625	34890
592	50691	34791
593	50757	34692
594	50818	34590
595	50889	34495
596	50960	34400
597	51015	34294
598	51068	34187
599	51122	34081
600	51185	33981
601	51243	33878
602	51302	33776
603	51364	33676
604	51417	33570
605	51470	33464
606	51528	33361
607	51585	33258
608	51649	33161
609	51707	33058
610	51762	32955
611	51819	32852
612	51881	32754
613	51948	32658
614	52004	32555
615	52061	32453
616	52118	32352
617	52167	32246
618	52223	32144
619	52281	32043
620	52337	31942
621	52392	31839
622	52447	31737
623	52498	31633
624	52551	31530
625	52603	31427
626	52656	31325
627	52710	31223
628	52766	31123
629	52824	31023
630	52882	30925
631	52942	30827
632	52999	30727
633	53065	30634
634	53122	30534
635	53182	30437
636	53237	30337
637	53287	30235
638	53346	30137
639	53401	30038
640	53456	29938
641	53519	29844
642	53570	29742
643	53623	29642
644	53675	29542
645	53736	29446
646	53790	29347
647	53844	29248
648	53898	29150
649	53954	29052
650	54008	28953
651	54061	28855
652	54114	28755
653	54168	28658
654	54225	28561
655	54282	28465
656	54336	28367
657	54393	28271
658	54450	28175
659	54504	28077
660	54563	27983
661	54625	27890
662	54694	27800
663	54771	27715
664	54835	27623
665	54900	27532
666	54962	27440
667	55023	27346
668	55090	27257
669	55149	27163
670	55218	27074
671	55305	26994
672	55406	26920
673	55486	26837
674	55567	26754
675	55669	26681
676	55755	26601
677	55829	26514
678	55897	26425
679	55958	26333
680	56020	26241
681	56076	26147
682	56131	26052
683	56187	25958
684	56242	25863
685	56297	25768
686	56379	25686
687	56456	25602
688	56545	25523
689	56637	25445
690	56716	25362
691	56777	25270
692	56834	25177
693	56890	25084
694	56959	24996
695	57027	24908
696	57094	24820
697	57148	24726
698	57204	24633
699	57261	24540
700	57337	24456
701	57415	24372
702	57487	24287
703	57558	24200
704	57634	24116
705	57701	24028
706	57760	23937
707	57817	23845
708	57873	23753
709	57933	23663
710	57991	23571
711	58046	23479
712	58101	23387
713	58164	23298
714	58238	23214
715	58309	23128
716	58378	23042
717	58449	22956
718	58524	22872
719	58583	22782
720	58637	22690
721	58691	22598
722	58747	22507
723	58803	22416
724	58859	22325
725	58920	22237
726	58978	22147
727	59036	22057
728	59094	21967
729	59163	21882
730	59237	21798
731	59307	21713
732	59396	21635
733	59476	21554
734	59536	21465
735	59698	21413
736	59863	21362
737	59932	21276
738	59987	21186
739	60042	21096
740	60095	21005
741	60148	20914
742	60204	20824
743	60262	20735
744	60319	20646
745	60382	20559
746	60440	20470
747	60499	20382
748	60555	20292
749	60613	20204
750	60668	20115
751	60728	20027
752	60789	19940
753	60851	19853
754	60917	19767
755	60976	19680
756	61035	19592
757	61093	19504
758	61146	19415
759	61201	19326
760	61255	19237
761	61310	19149
762	61365	19061
763	61422	18973
764	61480	18886
765	61537	18798
766	61591	18710
767	61643	18621
768	61698	18533
769	61751	18445
770	61803	18356
771	61856	18268
772	61920	18183
773	61971	18094
774	62036	18010
775	62109	17928
776	62180	17845
777	62257	17764
778	62321	17680
779	62385	17595
780	62447	17510
781	62512	17426
782	62578	17342
783	62637	17257
784	62696	17171
785	62752	17085
786	62808	16999
787	62866	16913
788	62929	16829
789	62997	16746
790	63072	16665
791	63158	16587
792	63213	16500
793	63277	16417
794	63347	16334
795	63420	16253
796	63494	16172
797	63577	16093
798	63645	16011
799	63700	15925
800	63756	15839
801	63808	15753
802	63869	15669
803	63953	15590
804	64038	15512
805	64116	15432
806	64183	15349
807	64238	15264
808	64291	15178
809	64348	15094
810	64416	15011
811	64487	14930
812	64558	14849
813	64633	14768
814	64705	14687
815	64760	14602
816	64813	14517
817	64880	14435
818	64946	14353
819	65020	14272
820	65089	14191
821	65158	14109
822	65216	14025
823	65280	13943
824	65339	13859
825	65397	13776
826	65452	13692
827	65507	13607
828	65565	13524
829	65618	13439
830	65693	13359
831	65780	13282
832	65854	13202
833	65934	13123
834	66008	13043
835	66067	12960
836	66128	12878
837	66200	12797
838	66275	12718
839	66329	12634
840	66385	12550
841	66440	12467
842	66500	12384
843	66565	12303
844	66620	12220
845	66676	12137
846	66732	12054
847	66785	11970
848	66839	11887
849	66896	11805
850	66951	11722
851	67003	11639
852	67055	11555
853	67109	11472
854	67161	11390
855	67215	11307
856	67273	11225
857	67328	11142
858	67380	11060
859	67433	10977
860	67488	10895
861	67543	10813
862	67595	10730
863	67648	10648
864	67698	10565
865	67753	10483
866	67810	10402
867	67869	10321
868	67924	10239
869	67978	10157
870	68030	10075
871	68083	9993
872	68136	9912
873	68190	9830
874	68239	9748
875	68289	9666
876	68343	9585
877	68395	9503
878	68449	9422
879	68503	9341
880	68554	9259
881	68606	9178
882	68660	9097
883	68712	9016
884	68764	8935
885	68815	8854
886	68870	8773
887	68924	8693
888	68978	8612
889	69029	8531
890	69079	8450
891	69130	8370
892	69185	8289
893	69237	8209
894	69288	8128
895	69338	8048
896	69390	7967
897	69443	7887
898	69497	7807
899	69563	7729
900	69627	7650
901	69689	7571
902	69753	7492
903	69814	7413
904	69887	7336
905	69941	7256
906	69994	7176
907	70049	7097
908	70102	7017
909	70158	6938
910	70210	6859
911	70264	6779
912	70316	6700
913	70369	6621
914	70426	6542
915	70480	6463
916	70536	6384
917	70590	6305
918	70639	6226
919	70692	6147
920	70743	6068
921	70797	5989
922	70852	5910
923	70911	5832
924	70961	5753
925	71014	5674
926	71064	5596
927	71117	5517
928	71170	5439
929	71213	5360
930	71263	5281
931	71318	5203
932	71371	5125
933	71423	5047
934	71477	4969
935	71531	4891
936	71582	4812
937	71632	4734
938	71683	4656
939	71739	4579
940	71789	4501
941	71841	4423
942	71897	4345
943	71976	4269
944	72054	4193
945	72123	4116
946	72189	4040
947	72247	3962
948	72308	3885
949	72361	3808
950	72421	3731
951	72474	3654
952	72528	3576
953	72582	3499
954	72640	3422
955	72690	3345
956	72739	3268
957	72790	3191
958	72845	3114
959	72898	3037
960	72952	2960
961	73012	2884
962	73060	2807
963	73112	2730
964	73164	2653
965	73220	2577
966	73274	2500
967	73326	2424
968	73378	2347
969	73429	2271
970	73483	2194
971	73556	2118
972	73610	2042
973	73661	1966
974	73712	1890
975	73764	1813
976	73820	1737
977	73872	1661
978	73924	1585
979	73973	1509
980	74023	1433
981	74073	1357
982	74125	1281
983	74176	1206
984	74229	1130
985	74284	1054
986	74334	979
987	74386	903
988	74437	827
989	74488	752
990	74540	676
991	74594	601
992	74646	526
993	74697	450
994	74753	375
995	74808	300
996	74863	225
997	74914	150
998	74964	75
999	75018	0
