iter	Logloss
0	0.5363488757
1	0.4322346893
2	0.3571808738
3	0.3083723685
4	0.2759564563
5	0.2547560815
6	0.2390564151
7	0.2279233926
8	0.219489373
9	0.2137849815
10	0.2093020057
11	0.2058753033
12	0.2030434049
13	0.2007728044
14	0.1990935294
15	0.197392228
16	0.1962179097
17	0.1952195014
18	0.1941890713
19	0.1935078151
20	0.192884807
21	0.1924180572
22	0.1919634756
23	0.1910944836
24	0.1906864123
25	0.1900785606
26	0.1894732779
27	0.1890580958
28	0.1886259572
29	0.1883888636
30	0.1881963387
31	0.1879481744
32	0.1877861218
33	0.1875367276
34	0.1873339958
35	0.187157141
36	0.1869269481
37	0.1867873229
38	0.1866615359
39	0.186519409
40	0.1863555034
41	0.18624835
42	0.1861082231
43	0.185993192
44	0.1858890474
45	0.1858015047
46	0.1856460018
47	0.1855641889
48	0.1854451134
49	0.1853822618
50	0.1853047859
51	0.1852153047
52	0.1850454846
53	0.1849646771
54	0.1848445455
55	0.1847865683
56	0.1846954308
57	0.1846249424
58	0.1845642382
59	0.1844718572
60	0.1843752547
61	0.1843242817
62	0.1842612065
63	0.1842107291
64	0.1841631512
65	0.1841115468
66	0.1840659402
67	0.1840133802
68	0.1839514816
69	0.1839018475
70	0.1838474127
71	0.1837927349
72	0.1837496237
73	0.1837026837
74	0.1836520829
75	0.1836162159
76	0.1835692313
77	0.183518033
78	0.1834737207
79	0.1834196411
80	0.1833742681
81	0.1833065921
82	0.1832601265
83	0.1832070407
84	0.1831781238
85	0.183137867
86	0.1831014484
87	0.1830779543
88	0.1830401055
89	0.1830235186
90	0.1829983349
91	0.1829604815
92	0.1829120102
93	0.1828778796
94	0.1828450795
95	0.1827930558
96	0.1827589656
97	0.1827017905
98	0.1826609093
99	0.1826218078
100	0.1825693379
101	0.1825408761
102	0.1825007949
103	0.1824733492
104	0.182442481
105	0.1824008026
106	0.1823716636
107	0.1823407438
108	0.1823089664
109	0.182284267
110	0.1822528674
111	0.1822265264
112	0.1821924038
113	0.1821671362
114	0.1821159278
115	0.1820848447
116	0.1820625632
117	0.1820322177
118	0.1820076521
119	0.1819761366
120	0.1819456478
121	0.1818952083
122	0.18184924
123	0.1818166956
124	0.1817708771
125	0.1817334732
126	0.1817027707
127	0.1816605594
128	0.1816360357
129	0.1815995463
130	0.1815598002
131	0.1815366517
132	0.1815001657
133	0.1814759054
134	0.1814541837
135	0.1814335507
136	0.1814117133
137	0.1813816017
138	0.181340018
139	0.1813198486
140	0.1812993129
141	0.1812674793
142	0.1812222444
143	0.181187854
144	0.1811583004
145	0.1811230952
146	0.1810762018
147	0.18104729
148	0.1810176176
149	0.1809943659
150	0.180966063
151	0.1809422177
152	0.1809186557
153	0.1808878316
154	0.1808565571
155	0.1808334397
156	0.1808181815
157	0.1807920802
158	0.1807616872
159	0.180716216
160	0.1806909206
161	0.1806594454
162	0.1806257785
163	0.1806019494
164	0.180582272
165	0.1805613661
166	0.1805355716
167	0.1805188698
168	0.1805005845
169	0.1804692531
170	0.1804326006
171	0.1804009123
172	0.1803800952
173	0.1803433139
