iter	Logloss
0	0.6481653849
1	0.6137973785
2	0.5757917404
3	0.5480442047
4	0.5232490857
5	0.5079793612
6	0.49027764
7	0.4680179596
8	0.4514280637
9	0.4333942413
10	0.4216688156
11	0.4030863762
12	0.3895398458
13	0.3746925354
14	0.3696540197
15	0.3620200793
16	0.3555111249
17	0.3489919662
18	0.3412637711
19	0.333913072
20	0.3207707405
21	0.314744695
22	0.3118636449
23	0.3089909236
24	0.3051452001
25	0.3016288439
26	0.2922683716
27	0.2887998899
28	0.2829880079
29	0.2803113937
30	0.2772204081
31	0.2726439158
32	0.2688335419
33	0.2591751734
34	0.2510146459
35	0.2498817603
36	0.244360129
37	0.2395462036
38	0.2342745463
39	0.2325261752
40	0.2296680768
41	0.2281769435
42	0.22169288
43	0.2197297414
44	0.2177263737
45	0.2156212489
46	0.213588206
47	0.2086418947
48	0.2063047886
49	0.2038117409
50	0.2010499001
51	0.1975077947
52	0.1949134827
53	0.1930768967
54	0.1916505496
55	0.1856909434
56	0.1822556496
57	0.179870526
58	0.1790067832
59	0.1781736374
60	0.1769732475
61	0.1754362742
62	0.1746861935
63	0.1717705568
64	0.1705336889
65	0.1689380328
66	0.167871205
67	0.1672074954
68	0.1631288846
69	0.1618732452
70	0.1603462537
71	0.1574537913
72	0.1562053204
73	0.1550088882
74	0.1538208803
75	0.1533027967
76	0.1521094322
77	0.1511930784
78	0.1493914604
79	0.1456457774
80	0.1435113907
81	0.1427116712
82	0.1394728661
83	0.138152504
84	0.1377071381
85	0.1367664337
86	0.1357198079
87	0.1347357432
88	0.1308542887
89	0.1275674025
90	0.1265962919
91	0.1257524014
92	0.1248708804
93	0.1225879669
94	0.1205971718
95	0.1200396617
96	0.1178085804
97	0.1166987578
98	0.1160318375
99	0.1133427858
100	0.1126110395
101	0.1119678895
102	0.1102599223
103	0.1087533553
104	0.1083039522
105	0.1075990518
106	0.1061050256
107	0.104796203
108	0.1041635752
109	0.1034524282
110	0.1029860814
111	0.100857679
112	0.1002376556
113	0.09870377382
114	0.09698842367
115	0.0964403073
116	0.09543969631
117	0.09440870285
118	0.09387954076
119	0.09303811391
120	0.09121049245
121	0.09070514838
122	0.09023483594
123	0.08923361301
124	0.0881064256
125	0.0876404206
126	0.08729887009
127	0.08683763345
128	0.08641029994
129	0.08574010531
130	0.08529106776
131	0.08489613533
132	0.08386042913
133	0.08293437958
134	0.08154742718
135	0.08130516211
136	0.08062868118
137	0.0804100434
138	0.07959733009
139	0.078683273
140	0.07831350962
141	0.07810190519
142	0.07772653898
143	0.07738552094
144	0.07655232747
145	0.07613309224
146	0.07533474763
147	0.07499084473
148	0.07467346191
149	0.07367177804
150	0.07333210309
151	0.07253603935
152	0.07218565941
153	0.07118368149
154	0.07085622152
155	0.07054789066
156	0.06985990206
157	0.0692220211
158	0.06887764931
159	0.067537419
160	0.06726774375
161	0.06702219645
162	0.06674467723
163	0.06649246216
164	0.06619668404
165	0.06562823455
166	0.06534326077
167	0.06414941549
168	0.0639591217
169	0.06353216569
170	0.06335413059
171	0.06308012803
172	0.06270616452
173	0.06244585514
174	0.06164690653
175	0.06148511966
176	0.06108139753
177	0.06083868345
178	0.06056477626
179	0.06033425331
180	0.05985196431
181	0.05934914748
182	0.05912754138
183	0.05898060004
184	0.0587721626
185	0.0582781752
186	0.0577195247
187	0.05703747272
188	0.05619587501
189	0.05570742289
190	0.05525974433
191	0.05514982144
192	0.0550444444
193	0.05495752096
194	0.05464296341
195	0.05444498857
196	0.05418500106
197	0.05373691718
198	0.05359353224
199	0.05331711769
200	0.05318520466
201	0.05299757322
202	0.05258033673
203	0.05240302881
204	0.05227913459
205	0.05186591148
206	0.0516635259
207	0.05081539154
208	0.05040342808
209	0.05031002363
210	0.05014225642
211	0.04998385906
212	0.04960290194
213	0.0495149533
214	0.04922340711
215	0.04911366304
216	0.04895900885
217	0.0486159126
218	0.04835497141
219	0.04820321401
220	0.04804832935
221	0.04744402965
222	0.04711572329
223	0.04697050254
224	0.046871984
225	0.04672712088
226	0.04630575975
227	0.04617020686
228	0.04580190976
229	0.04546208382
230	0.04527879953
231	0.04518480301
232	0.04507626295
233	0.0447765708
234	0.04465486209
235	0.0442465504
236	0.04413977067
237	0.04405246178
238	0.04374084473
239	0.04348080953
240	0.0433251818
241	0.04319883585
242	0.04299268723
243	0.04272734324
244	0.04256863991
245	0.04245504141
246	0.04196795225
247	0.04143824577
248	0.04133086999
249	0.04122349819
250	0.04110213121
251	0.04096123377
252	0.04088208675
253	0.0408092618
254	0.04066953659
255	0.04034802516
256	0.04023648898
257	0.04013690154
258	0.04000748396
259	0.03988085588
260	0.0396547397
261	0.03944606781
262	0.03931233088
263	0.03890271187
264	0.03867161274
265	0.03857240677
266	0.03843691746
267	0.03831741015
268	0.03810809453
269	0.03801399867
270	0.03789401054
271	0.0378087759
272	0.03759632905
273	0.03750683467
274	0.03732336362
275	0.03725970189
276	0.036987408
277	0.03681335449
278	0.03675266107
279	0.03653805256
280	0.03636980454
281	0.03626755079
282	0.03598153194
283	0.03570067088
284	0.03565133413
285	0.03539103667
286	0.03524511258
287	0.03499674797
288	0.03494328658
289	0.03487229347
290	0.03481396039
291	0.03472001155
292	0.03454999526
293	0.03424448967
294	0.03420367638
295	0.03414727847
296	0.03410785198
297	0.03401246071
298	0.03361393611
299	0.0335747083
